id_symptoms,symptoms,herbs,usage_method,relevance_score
50,Demam,Belimbing,"Belimbing memiliki sifat antipiretik yang membantu menurunkan suhu tubuh. Untuk mengatasi demam, ambil 1 buah belimbing, cuci bersih, potong-potong, dan blender bersama segelas air. Minum jus ini dua kali sehari untuk membantu menurunkan demam secara alami.","0,7"
51,Darah tinggi,Belimbing,Belimbing kaya akan kalium yang membantu mengontrol tekanan darah. Konsumsi belimbing segar dengan cara dimakan langsung sebagai buah atau dijadikan jus tanpa gula. Minum secara rutin satu kali sehari untuk manfaat maksimal.,"0,8"
52,Sembelit,Belimbing,"Untuk mengatasi sembelit atau gangguan pencernaan, belimbing dapat dikonsumsi karena seratnya membantu melancarkan sistem pencernaan. Potong belimbing segar menjadi potongan kecil dan konsumsi sebagai camilan setelah makan.","0,6"
53,Batuk,Belimbing,Belimbing memiliki efek anti-inflamasi dan membantu meredakan batuk. Rebus 1-2 buah belimbing dalam 2 gelas air hingga tersisa setengahnya. Saring dan minum hangat dua kali sehari untuk meredakan batuk.,"0,4"
54,Jerawat,Belimbing,"Belimbing dapat digunakan untuk mengatasi jerawat berkat sifat antimikrobanya. Haluskan belimbing segar hingga berbentuk pasta, lalu aplikasikan pada area kulit yang bermasalah selama 15-20 menit. Bilas dengan air hangat. Gunakan dua kali seminggu untuk hasil terbaik.","0,9"
55,Batuk,Belimbing wuluh,"Ambil 5-6 buah belimbing wuluh, cuci bersih, lalu haluskan. Campur dengan sedikit air hangat dan madu, aduk rata. Minum ramuan ini dua kali sehari untuk membantu meredakan batuk, berkat sifat ekspektoran belimbing wuluh.","0,9"
56,Sakit tenggorokan,Belimbing wuluh,"Haluskan 3-5 buah belimbing wuluh, campur dengan segelas air hangat. Gunakan campuran ini untuk berkumur 2-3 kali sehari. Kandungan asamnya membantu mengurangi bakteri dan menenangkan iritasi tenggorokan.","0,8"
57,Darah tinggi,Belimbing wuluh,Rebus 5 buah belimbing wuluh dalam 2 gelas air hingga tersisa 1 gelas. Saring dan minum sekali sehari. Kandungan kalium pada belimbing wuluh dapat membantu mengontrol tekanan darah secara alami.,"0,7"
58,Jerawat,Belimbing wuluh,"Tumbuk 2-3 buah belimbing wuluh hingga halus, campur dengan sedikit garam. Oleskan langsung pada jerawat dan biarkan selama 10-15 menit, lalu bilas dengan air bersih. Sifat antimikroba pada belimbing wuluh membantu mengurangi peradangan dan membunuh bakteri penyebab jerawat.","0,85"
59,Nyeri otot,Belimbing wuluh,"Tumbuk beberapa buah belimbing wuluh, campurkan dengan sedikit minyak kelapa hangat. Gunakan campuran ini untuk memijat area otot yang nyeri. Kombinasi senyawa anti-inflamasi pada belimbing wuluh dengan minyak kelapa membantu meredakan nyeri dan melancarkan peredaran darah.","0,6"
60,Nyeri otot,Benalu,"Untuk meredakan nyeri otot, ambil segenggam daun benalu, rebus dengan 2 gelas air hingga tersisa setengahnya. Saring dan gunakan air rebusan ini sebagai kompres hangat di area otot yang sakit. Lakukan 2 kali sehari.","0,6"
61,Nyeri sendi,Benalu,"Untuk nyeri sendi, rebus 1 sendok makan daun benalu yang sudah dikeringkan dalam 2 gelas air selama 10-15 menit. Saring airnya dan minum hangat sekali sehari. Sifat anti-inflamasi benalu membantu mengurangi pembengkakan dan rasa nyeri.","0,7"
62,Darah tinggi,Benalu,Rebus segenggam daun benalu segar dalam 3 gelas air hingga tersisa setengahnya. Minum air rebusan hangat ini dua kali sehari. Benalu membantu melancarkan peredaran darah dan menurunkan tekanan darah.,"0,9"
63,Susah tidur,Benalu,"Seduh 1 sendok teh daun benalu kering seperti teh herbal dalam air panas. Biarkan selama 5-10 menit, lalu minum selagi hangat sebelum tidur. Senyawa alami benalu memiliki efek menenangkan yang dapat membantu tidur lebih nyenyak.","0,5"
64,Pembengkakan,Benalu,"Untuk pembengkakan, tumbuk halus daun benalu segar hingga menjadi pasta, lalu balurkan pada area yang bengkak. Bungkus dengan kain bersih dan biarkan selama beberapa jam. Lakukan ini 1-2 kali sehari untuk mengurangi peradangan.","0,8"
65,Luka,Beringin,"Getah beringin dapat digunakan untuk mempercepat penyembuhan luka luar. Ambil sedikit getah beringin, oleskan langsung pada luka yang telah dibersihkan. Lakukan ini 1-2 kali sehari untuk membantu regenerasi kulit.","0,8"
66,Pembengkakan,Beringin,"Kulit batang beringin dapat digunakan untuk meredakan radang atau bengkak. Rebus kulit batang beringin dengan 2 gelas air hingga tersisa setengahnya, kemudian gunakan air rebusan untuk kompres pada area yang bengkak.","0,7"
67,Mimisan,Beringin,"Daun beringin dapat membantu menghentikan mimisan. Hancurkan beberapa lembar daun beringin hingga mengeluarkan cairan, kemudian gulung daun yang sudah dihancurkan dan masukkan ke lubang hidung untuk membantu menghentikan perdarahan.","0,9"
68,Iritasi kulit,Beringin,Air rebusan daun beringin dapat digunakan untuk meredakan kulit gatal. Rebus beberapa lembar daun beringin dengan 3 gelas air hingga mendidih. Gunakan air rebusan ini untuk mencuci area yang gatal atau iritasi.,"0,6"
69,Nyeri otot,Beringin,"Untuk mengurangi nyeri otot, gunakan kulit beringin yang telah direbus. Ambil 2-3 potong kecil kulit beringin, rebus dengan 3 gelas air hingga tersisa setengahnya. Gunakan air rebusan ini untuk merendam kain dan kompres pada otot yang nyeri.","0,5"
70,Nyeri otot,Biduri,"Biduri efektif meredakan nyeri otot dan sendi. Untuk penggunaannya, ambil daun biduri segar, panaskan sebentar di atas api hingga layu, lalu tempelkan pada area yang sakit sebagai kompres. Kandungan analgesik pada daun membantu meredakan rasa nyeri.","0,8"
71,Pembengkakan,Biduri,"Untuk mengatasi bengkak, ambil daun biduri segar, haluskan hingga menjadi pasta, dan balurkan langsung pada area yang bengkak. Biarkan selama 20-30 menit sebelum dibersihkan dengan air hangat. Sifat anti-inflamasi biduri membantu mengurangi pembengkakan.","0,7"
72,Iritasi kulit,Biduri,Haluskan bunga biduri dan campur dengan minyak kelapa. Oleskan campuran ini pada kulit yang gatal atau iritasi. Lakukan 2-3 kali sehari untuk meredakan rasa gatal dan mempercepat penyembuhan.,"0,6"
73,Susah tidur,Biduri,Rebus 2-3 lembar daun biduri dalam segelas air selama 10 menit. Minum air rebusan ini hangat sebelum tidur untuk membantu menenangkan saraf dan meningkatkan kualitas tidur.,"0,4"
74,Luka,Biduri,Ambil getah biduri secukupnya dan oleskan tipis-tipis pada luka ringan atau lecet. Getah biduri memiliki sifat antiseptik yang membantu mencegah infeksi dan mempercepat proses penyembuhan.,"0,9"
75,Sakit tenggorokan,Brokoli,"Brokoli dapat membantu meredakan radang tenggorokan berkat kandungan antioksidan dan vitamin C-nya. Untuk penggunaannya, kukus brokoli hingga matang dan konsumsi sebagai lauk. Anda juga bisa membuat jus brokoli dengan mencampurkannya dengan air hangat dan sedikit madu untuk diminum sehari sekali.","0,6"
76,Mata lelah,Brokoli,"Kandungan lutein dan zeaxanthin dalam brokoli bermanfaat untuk mengurangi ketegangan pada mata. Untuk penggunaannya, konsumsi brokoli kukus atau rebus secara rutin sebagai bagian dari diet harian untuk membantu meningkatkan kesehatan mata.","0,8"
77,Perut kembung,Brokoli,"Serat dalam brokoli membantu meredakan kembung dan memperbaiki pencernaan. Rebus brokoli hingga empuk, lalu konsumsi bersama sedikit garam dan minyak zaitun untuk memaksimalkan manfaatnya.","0,4"
78,Kelelahan,Brokoli,"Brokoli kaya akan zat besi dan vitamin B kompleks, yang membantu mengurangi rasa lelah dan meningkatkan energi. Anda bisa memasukkan brokoli ke dalam salad atau membuat tumis brokoli dengan bawang putih untuk efek menenangkan.","0,7"
79,Kulit kering,Brokoli,"Kandungan vitamin E dan beta-karoten dalam brokoli membantu memperbaiki kondisi kulit. Untuk penggunaannya, konsumsi brokoli mentah dalam salad atau jus brokoli segar untuk mendapatkan nutrisi yang optimal.","0,9"
80,Demam,Brotowali,Brotowali efektif menurunkan demam karena sifat antipiretiknya. Rebus batang brotowali sepanjang 10 cm dengan 2 gelas air hingga tersisa 1 gelas. Saring dan minum setengah gelas dua kali sehari untuk membantu menurunkan suhu tubuh.,"0,9"
81,Kelelahan,Brotowali,"Untuk mengatasi kelelahan, rebus 5 cm batang brotowali dengan 2 gelas air hingga mendidih. Tambahkan madu agar rasanya lebih enak, dan minum hangat sekali sehari untuk memulihkan energi dan meningkatkan vitalitas.","0,7"
82,Nyeri otot,Brotowali,"Rebus 10 cm batang brotowali dengan 3 gelas air hingga tersisa 1,5 gelas. Saring dan minum setengah gelas dua kali sehari. Brotowali membantu mengurangi nyeri otot dan mempercepat pemulihan setelah aktivitas fisik berat.","0,6"
83,Kulit gatal,Brotowali,"Untuk meredakan gatal, rebus batang brotowali dalam 2 liter air, lalu gunakan air rebusan tersebut untuk mandi atau mencuci area yang gatal. Brotowali memiliki sifat antimikroba yang membantu mengurangi iritasi dan mencegah infeksi.","0,8"
84,Tidak nafsu makan,Brotowali,"Untuk meningkatkan nafsu makan, rebus batang brotowali sepanjang 10 cm dalam 2 gelas air hingga tersisa 1 gelas. Minum setengah gelas sebelum makan, satu kali sehari. Brotowali merangsang pencernaan sehingga nafsu makan meningkat.","0,85"
85,Lemas,Buni,"Untuk mengatasi lemas, makan buah buni segar sebanyak 10-15 butir. Kandungan vitamin C dan antioksidan pada buni membantu meningkatkan energi tubuh secara alami.","0,8"
86,Sembelit,Buni,Konsumsi jus buni yang dibuat dari 1 gelas buah buni matang yang dihaluskan dengan 1 gelas air. Minum jus ini sekali sehari. Serat alami pada buah buni membantu melancarkan pencernaan d,"0,6"
87,Demam,Buni,Rebus segenggam daun buni dengan 2 gelas air hingga tersisa 1 gelas. Saring dan minum air rebusan hangat dua kali sehari. Daun buni memiliki sifat antipiretik yang dapat membantu menurunkan demam.,"0,7"
88,Mata lelah,Buni,"Untuk mata lelah, tumbuk halus buah buni segar dan tempelkan pada kelopak mata yang tertutup selama 10-15 menit. Senyawa antioksidan dalam buah buni membantu meredakan ketegangan pada mata.","0,5"
89,Perut kembung,Buni,Rebus segenggam buah buni kering dengan 2 gelas air hingga mendidih. Saring dan minum air rebusan hangat sekali sehari. Buah buni membantu meredakan gas berlebih di saluran pencernaan dan mengurangi perut kembung.,"0,4"
90,Demam,Calingcing,Rebus segenggam daun calingcing dalam dua gelas air hingga tersisa satu gelas. Saring air rebusan dan minum hangat dua kali sehari. Calingcing membantu menurunkan suhu tubuh berkat sifat antipiretiknya.,"0,8"
91,Perut kembung,Calingcing,"Ambil beberapa lembar daun calingcing, cuci bersih, lalu kunyah langsung atau rebus dalam segelas air hingga mendidih. Minum air rebusan ini sekali sehari untuk membantu meredakan gas berlebih di perut.","0,6"
92,Diare,Calingcing,Rebus 10-15 gram daun calingcing dengan dua gelas air hingga tersisa satu gelas. Saring dan minum air rebusan dua kali sehari. Kandungan antibakteri pada calingcing membantu menghentikan diare dan melawan infeksi penyebabnya.,"0,7"
93,Sakit tenggorokan,Calingcing,"Seduh segenggam daun calingcing dengan air panas seperti membuat teh. Gunakan air ini untuk berkumur-kumur selama 1-2 menit, lalu minum sedikit airnya. Lakukan ini 2-3 kali sehari untuk meredakan radang.","0,5"
94,Kulit gatal,Calingcing,"Tumbuk daun calingcing hingga halus, campur dengan sedikit air, lalu oleskan pada area kulit yang gatal. Diamkan selama 15-20 menit sebelum dibilas. Lakukan ini dua kali sehari untuk mengurangi rasa gatal dan iritasi.","0,4"
95,Kulit gatal,Cendana,"Cendana dapat meredakan gatal dan iritasi kulit. Campurkan bubuk cendana dengan air mawar hingga membentuk pasta. Oleskan langsung pada area kulit yang gatal atau iritasi, biarkan selama 15-20 menit, lalu bilas dengan air bersih. Ulangi dua kali sehari untuk hasil terbaik.","0,85"
96,Kulit berminyak,Cendana,"Untuk mengurangi minyak berlebih pada kulit, campurkan bubuk cendana dengan susu atau air mawar hingga menjadi pasta. Aplikasikan ke wajah sebagai masker selama 10-15 menit, lalu bilas dengan air hangat. Gunakan dua hingga tiga kali seminggu.","0,9"
97,Jerawat,Cendana,"Cendana membantu mengatasi jerawat karena sifat anti-inflamasi dan antimikrobanya. Campurkan bubuk cendana dengan kunyit dan sedikit madu hingga menjadi pasta. Oleskan pada jerawat dan biarkan hingga mengering, lalu bilas dengan air bersih. Gunakan setiap hari hingga jerawat mereda.","0,95"
98,Bau badan,Cendana,"Untuk mengurangi bau badan, campurkan bubuk cendana dengan air hangat hingga menjadi larutan encer. Gunakan larutan ini untuk mandi atau oleskan ke area yang cenderung berkeringat, seperti ketiak, lalu bilas. Sifat harum alami cendana membantu mengurangi bau tidak sedap.","0,8"
99,Kulit kering,Cendana,"Campurkan bubuk cendana dengan air atau susu hingga membentuk pasta. Oleskan pada dahi, leher, atau kaki, biarkan beberapa menit, lalu bilas. Alternatif lain, minum air rebusan kayu cendana untuk memberikan efek menenangkan dari dalam.","0,75"
100,Sakit gigi,Cengkeh,"Untuk meredakan sakit gigi, haluskan 1-2 bunga cengkeh hingga menjadi bubuk halus, lalu tempelkan pada area gigi yang sakit. Alternatifnya, teteskan minyak cengkeh pada kapas dan oleskan langsung ke area gigi yang bermasalah. Gunakan 2-3 kali sehari untuk mengurangi rasa sakit.","0,95"
101,Mual,Cengkeh,Rebus 2-3 bunga cengkeh dengan segelas air selama 5-10 menit. Saring air rebusan dan minum hangat. Sifat aromatik dan antispasmodik cengkeh membantu meredakan rasa mual.,"0,7"
102,Perut kembung,Cengkeh,"Kunyah langsung 1-2 bunga cengkeh setelah makan untuk mengurangi gas di perut. Alternatifnya, rebus beberapa bunga cengkeh dalam segelas air, lalu minum air rebusan hangat untuk mengurangi rasa penuh di perut.","0,8"
103,Nyeri otot,Cengkeh,"Campurkan beberapa tetes minyak cengkeh dengan minyak kelapa atau minyak zaitun, lalu gunakan sebagai minyak pijat pada area otot yang nyeri. Lakukan pijatan lembut untuk mengurangi peradangan dan rasa sakit.","0,6"
104,Bau mulut,Cengkeh,"Kunyah 1-2 bunga cengkeh setelah makan untuk menyegarkan napas. Alternatifnya, rebus beberapa bunga cengkeh dalam air, saring, dan gunakan air rebusan sebagai obat kumur alami.","0,9"
105,Panas dalam,Cincau,"Ambil daun cincau segar, cuci bersih, lalu remas dengan air matang hingga keluar ekstrak gelnya. Saring dan diamkan hingga mengental. Konsumsi cincau ini secara langsung atau campurkan dengan gula merah dan es untuk efek menyejukkan yang maksimal.","0,9"
106,Demam,Cincau,Rebus daun cincau dengan 2 gelas air hingga tersisa setengahnya. Saring air rebusan dan minum hangat dua kali sehari. Efek menyejukkan dari cincau membantu menurunkan suhu tubuh dan meredakan demam.,"0,7"
107,Diare,Cincau,"Seduh cincau dengan air hangat, lalu tambahkan madu untuk rasa. Minum dua kali sehari untuk membantu menormalkan pencernaan dan meredakan diare, berkat sifat cincau yang menenangkan saluran pencernaan.","0,8"
108,Dehidrasi,Cincau,"Siapkan cincau yang sudah diolah menjadi gel, lalu campur dengan air kelapa muda atau air jeruk nipis. Minuman ini membantu menghidrasi tubuh secara alami dan menghilangkan rasa haus berlebih.","0,6"
109,Sembelit,Cincau,Cincau yang diolah menjadi gel dapat dimakan langsung atau dicampur dengan susu hangat. Kandungan serat tinggi pada cincau membantu melunakkan feses dan melancarkan buang air besar. Konsumsi ini setiap malam sebelum tidur untuk hasil yang optimal.,"0,85"
